"","kingdom","phylum","class","order","family","genus","species"
"29379",NA,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus auricularis"
"61015",NA,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus succinus"
"407035",NA,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus","Salinicoccus halodurans"
"1898474",NA,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Macrococcus","Macrococcus sp. IME1552"
"2756",NA,"Firmicutes","Bacilli","Bacillales","Listeriaceae","Brochothrix","Brochothrix thermosphacta"
"1006155",NA,"Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria weihenstephanensis"
"1639",NA,"Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes"
"64104",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus pseudomycoides"
"1396",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus"
"1705566",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus sp. FJAT-18017"
"492670",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus velezensis"
"1230341",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Salimicrobium","Salimicrobium jeotgali"
"2692425",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Pontibacillus","Pontibacillus sp. HMF3514"
"2213194",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Paraliobacillus","Paraliobacillus sp. X-1125"
"228899",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Peribacillus","Peribacillus asahii"
"279826",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Mesobacillus","Mesobacillus foraminis"
"79880",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Alkalihalobacillus","Alkalihalobacillus clausii"
"45668",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Halobacillus","Halobacillus litoralis"
"2070463",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Lysinibacillus","Lysinibacillus sp. SGAir0095"
"1650",NA,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Kurthia","Kurthia zopfii"
"1215089",NA,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus","Planococcus halocryophilus"
"1176255",NA,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus","Planococcus dechangensis"
"1038856",NA,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus","Planococcus plakortidis"
"2762563",NA,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina","Sporosarcina sp. resist"
"298596",NA,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina","Sporosarcina ureilytica"
"2660554",NA,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus sp. B01"
"1536769",NA,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus sp. FSL P4-0081"
"2704462",NA,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus lycopersici"
"332410",NA,"Firmicutes","Bacilli","Bacillales",NA,"Exiguobacterium","Exiguobacterium sibiricum"
"1511",NA,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Acetoanaerobium","Acetoanaerobium sticklandii"
"1507512",NA,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia","Romboutsia hominis"
"1490",NA,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paraclostridium","Paraclostridium bifermentans"
"143361",NA,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Filifactor","Filifactor alocis"
"1229621",NA,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","Anaerostipes rhamnosivorans"
"105841",NA,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","Anaerostipes caccae"
"2109690",NA,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,"Lachnospiraceae bacterium Choco86"
"2497860",NA,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum","Cellulosilyticum sp. WCF-2"
"1871021",NA,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium phocaeense"
"208479",NA,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster","Enterocloster bolteae"
"617123",NA,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum","Lachnoanaerobaculum umeaense"
"853",NA,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii"
"2507162",NA,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Caproiciproducens","Caproiciproducens sp. NJN-50"
"1042156",NA,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium sp. SY8519"
"238834",NA,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium estertheticum"
"1491",NA,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium botulinum"
"2576307",NA,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Caloramator","Caloramator sp. E03"
"1510",NA,"Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Thermoclostridium","Thermoclostridium stercorarium"
"884684",NA,"Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Mageeibacillus","Mageeibacillus indolicus"
"236753",NA,"Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Fastidiosipila","Fastidiosipila sanguinis"
"2546351",NA,"Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis","Thermaerobacter","Thermaerobacter sp. FW80"
"2293838",NA,"Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis","Thermaerobacter","Thermaerobacter sp. PB12/4term"
"86332",NA,"Firmicutes","Clostridia","Clostridiales","Clostridiales Family XIII. Incertae Sedis","Mogibacterium","Mogibacterium pumilum"
"53442",NA,"Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","Eubacterium callanderi"
"2763056",NA,"Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter","Oscillibacter sp. NSJ-62"
"351091",NA,"Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter","Oscillibacter valericigenes"
"1898207",NA,"Firmicutes","Clostridia","Clostridiales",NA,NA,"Clostridiales bacterium"
"2734",NA,"Firmicutes","Clostridia","Clostridiales","Symbiobacteriaceae","Symbiobacterium","Symbiobacterium thermophilum"
"484770",NA,"Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Pelosinus","Pelosinus sp. UFO1"
"365349",NA,"Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Pelosinus","Pelosinus fermentans"
"2079536",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. Z16"
"2057743",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. 299"
"2321394",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. 2129"
"2560010",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. dk561"
"2057798",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. 432"
"2081702",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 897"
"712122",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 414"
"706438",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 171"
"1851395",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. Chiba101"
"2737173",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. zg-325"
"712116",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 169"
"52774",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces slackii"
"2057800",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces qiguomingii"
"1656",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces viscosus"
"52771",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces howellii"
"111015",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces radicidentis"
"1659",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces israelii"
"1960083",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces gaoshouyii"
"544580",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces oris"
"1852377",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces pacaensis"
"2495645",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinobaculum","Actinobaculum sp. 313"
"178339",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Pauljensenia","Pauljensenia hongkongensis"
"1660",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica"
"59505",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinotignum","Actinotignum schaalii"
"2496867",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Flaviflexus","Flaviflexus sp. H23T48"
"2758440",NA,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Arcanobacterium","Arcanobacterium sp. JY-X040"
"119981",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium","Propionibacterium australiense"
"556499",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium","Propionibacterium acidifaciens"
"1744",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium","Propionibacterium freudenreichii"
"1332264",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Tessaracoccus","Tessaracoccus aquimaris"
"1285901",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Tessaracoccus","Tessaracoccus defluvii"
"1749",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Acidipropionibacterium","Acidipropionibacterium jensenii"
"2057246",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Acidipropionibacterium","Acidipropionibacterium virtanenii"
"2662261",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Raineyella","Raineyella sp. CBA3103"
"1750",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Pseudopropionibacterium","Pseudopropionibacterium propionicum"
"33011",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium granulosum"
"1747",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes"
"2714937",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propioniciclava","Propioniciclava sp. HDW11"
"2596828",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus","Microlunatus sp. KUDC0627"
"630515",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus","Microlunatus soli"
"675864",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Auraticoccus","Auraticoccus monumenti"
"2663857",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sp. zg-579"
"2714938",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sp. HDW12A"
"2714939",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sp. HDW12B"
"2760089",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sp. S-713"
"2518371",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides seonyuensis"
"2518370",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides euryhalodurans"
"449461",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides humi"
"402297",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides daphniae"
"75385",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Micropruina","Micropruina glycogenica"
"2079793",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","Aeromicrobium sp. 592"
"219314",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","Aeromicrobium marinum"
"546871",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Friedmanniella","Friedmanniella luteola"
"1494608",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. PAMC 25486"
"1652545",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. YC-RL1"
"2079227",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. PGP41"
"2565366",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. PAMC25564"
"1849032",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. U41"
"1704044",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. ERGS1:01"
"290399",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. FB24"
"656366",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter alpinus"
"37928",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter crystallopoietes"
"2211210",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter dokdonellae"
"1275",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","Kocuria rosea"
"388357",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","Kocuria turfanensis"
"71999",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","Kocuria palustris"
"1933880",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Glutamicibacter","Glutamicibacter halophytocola"
"1775880",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Glutamicibacter","Glutamicibacter mishrai"
"256701",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Glutamicibacter","Glutamicibacter arilaitensis"
"162496",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Glutamicibacter","Glutamicibacter creatinolyticus"
"85336",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia nasimurium"
"43675",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia mucilaginosa"
"361575",NA,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter phenanthrenivorans"
"2483401",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. 10M-3C3"
"2014534",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. PM5"
"1906742",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. BH-3-3-3"
"904291",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sediminis"
"82380",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium oxydans"
"1987356",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Aurantimicrobium","Aurantimicrobium sp. MWH-Mo1"
"708131",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Aurantimicrobium","Aurantimicrobium minutum"
"28447",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Clavibacter","Clavibacter michiganensis"
"2495430",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","Curtobacterium sp. Csp2"
"1905847",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","Curtobacterium sp. BH-2-1-1"
"2683590",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Diaminobutyricimonas","Diaminobutyricimonas sp. LJ205"
"2480625",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Plantibacter","Plantibacter sp. PA-3-X8"
"412690",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microterricola","Microterricola viridarii"
"2714935",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter","Leucobacter sp. HDW9C"
"399736",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agrococcus","Agrococcus jejuensis"
"2609252",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Rathayibacter","Rathayibacter sp. VKM Ac-2759"
"2724914",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia","Leifsonia sp. PS1209"
"2729175",NA,"Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. 40-2"
"2591145",NA,"Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. Y8"
"2654191",NA,"Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. JZ18"
"2003551",NA,"Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. PSBB021"
"11",NA,"Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas gilvus"
"1708",NA,"Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas fimi"
"2654547",NA,"Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Pseudactinotalea","Pseudactinotalea sp. HY158"
"545619",NA,"Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Paraoerskovia","Paraoerskovia marina"
"629680",NA,"Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium sandarakinum"
"2697563",NA,"Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium sp. WO024"
"273384",NA,"Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium aurantiacum"
"199591",NA,"Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium luteolum"
"2571029",NA,"Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium sp. SGAir0954"
"1903186",NA,"Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium sp. P6-10-X1"
"2017485",NA,"Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium avium"
"1331682",NA,"Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium ginsengisoli"
"43669",NA,"Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium faecium"
"1630135",NA,"Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Dermabacter","Dermabacter vaginalis"
"1288636",NA,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinimicrobium","Ornithinimicrobium flavum"
"2283195",NA,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinimicrobium","Ornithinimicrobium sp. AMA3305"
"2593973",NA,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Serinicoccus","Serinicoccus sp. W204"
"247333",NA,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Serinicoccus","Serinicoccus marinus"
"53358",NA,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Intrasporangium","Intrasporangium calvum"
"1276",NA,"Actinobacteria","Actinobacteria","Micrococcales","Dermacoccaceae","Kytococcus","Kytococcus sedentarius"
"1274",NA,"Actinobacteria","Actinobacteria","Micrococcales","Dermacoccaceae","Dermacoccus","Dermacoccus nishinomiyaensis"
"2585135",NA,"Actinobacteria","Actinobacteria","Micrococcales","Bogoriellaceae","Georgenia","Georgenia sp. Z294"
